Score,Frente,Verso,Tema,Tempo
0,Critérios IAMST,"Nas derivações V2 e V3:\nMaior ou igual a 1,5 mm nas mulheres;\nMaior ou igual a 2 mm nos homens acima de 40 anos;\nMaior ou igual a 2,5 mm nos homens abaixo de 40 anos.\n\nEm outras derivações:\nMaior ou igual a 1 mm em duas ou mais derivações contíguas (próximas, relacionadas à mesma parede).\n",SCA,1617543199.441087
0,Definição hemoptise maciça,perda sanguínea pelos pulmões maior que 500 a 600 mL em 24 horas,Tuberculose,1617543198.037374
0,Tto embolia maciça por aspergiloma, Embolização por cateterismo angiográfico (Embolização por arteriografia brônquica),Tuberculose,1617543197.149313
0,Diferença laringoscopio lamina curva e reta,"Curva é colocada na valécula e a reta, na epiglote",Trauma,1617543196.119952
0,Via de acesso cirúrgica mais adequada para abordagem da carina,Toracotomia póstero-lateral direita,Trauma,1617543201.7564301
0,Periodicidade para controle clínico após início do tto para hipotireoidismo.,4-6 semanas,Tireoide,1617576268.8355892
0,CV em que é recomendada cesárea,>1000 ou desconhecida,HIV,1617579281.774513
0,Principal causa de PNM lobar em pctes com AIDS,Pneumococo,HIV,1617580223.276619
0,Fatores protetores para pré-eclâmpsia,"Tabagismo, placenta prévia e histórico de abortamento",DHEG,1617580753.999817
0,Principal fator de piora do prognóstico nos portadores de tumor de Wilms,Anaplasia,Oncologia,1617580895.838578
0,USG doppler de aa. uterinas deve ser feito em que IG,26 semanas,DHEG,1617581890.358345
0,Exames a serem solicitados quando a AFU for <p10,"Perfil biofísico, USG e dopplervelocimetria",Sofrimento Fetal Agudo,1617660625.433916
0,Padrão terminal na CTG,Variabilidade mínima na FC fetal.,Sofrimento Fetal Agudo,1617661131.4415698
0,TB é mais comum em...,"Homens, negros, 35-60a",Tuberculose,1617664340.586259
0,CIs BCG,"Imunossuprimidos, < 2 kg e se lesões de pele no local da aplicação",Tuberculose,1617666366.105007
0,Situações em que a TB deve ser manejada por especialista,Reação adversa grave ao medicamento; TB resistente a droga; Falha no tto.,Tuberculose,1617671903.409602
0,Procedimento obrigatório em pcte assintomático com ferida na região toracoabdominal,Laparoscopia,Trauma,1617672361.0793269
0,Em quê pensar quando houver quadro de anemia hemolítica aguda + uso de medicamentos,Deficiêcia de G6PD,Anemias,1617746526.956254
0,A partir de que dia os reticulócitos e a Hb começam a aumentar com reposição de Fe na ANM ferropriva?,Rt: 4ºd; Hb: 7ºd,Anemias,1617747925.371757
0,"Após a normalização do hematócrito, mantemos a reposição de ferro por mais quanto tempo?",3-6m,Anemias,1617748118.18894
0,"Principal causa de aplasia eritrocitária em pacientes com hemólise crônica, imunocomprometidos e fetos in útero",Parvovírus B19,Anemias,1617748970.33979
0,Escala para avaliação CLÍNICA da gravidade da pancreatite aguda,Marshall,Abdome Agudo,1617921874.469347
0,Dx de TB pleural,"Toracocentese, que evidencia um derrame pleural exsudativo (aumento de LDH e proteínas), aumento da celularidade (predomínio de linfomononucleares) e ADA>40",Tuberculose,1617922222.263339
0,"Medicamento antirretroviral classicamente associado a erupção cutânea, disforia, sonolência, depressão, sonhos anormais ou vívidos",Efavirenz,HIV,1617923125.227263
0,O tratamento mais eficaz para demência associada ao HIV é:,Efavirenz associado a 2 outros antirretrovirais (HAART),HIV,1618002143.243636
0,A presença de crepitação ao toque retal pode representar a presença de...,"Ar livre no retroperitônio, que pode ter origem de um abdome agudo perfurativo",Abdome Agudo,1618004788.244256
0,IG que divide entre abortamento precoce e tardio,12,Parto,1618005660.585588
0,"A causa mais comum de anemia em bebês jovens é a _______, que ocorre aproximadamente entre a ____ e ____ semana de vida.",Anemia fisiológica / 6ª e 9ª,Anemia,1618006208.4524071
0,Dias para iniciar TARV em pcte com TB,"2 semanas se CD4<50, e 8 semanas se CD4>50",Tuberculose,1618049271.781763
0,Principal causa de mortalidade tardia associada ao trauma do ducto biliar,Estenose biliar,Trauma,1618056974.479619
